gene_id,SRR22458540,SRR22458547,SRR7780828,SRR7780898,SRR7819748,SRR7819792,SRR7819798,SRR7819835,SRR7819862,SRR7819901,SRR7819906,SRR7819938
ENPP1,524,591,4153,2434,674,3802,2870,1677,9202,10162,4324,2449
PARD6G,157,79,1858,707,321,1525,1235,100,1747,772,8403,1666
ADNP2,187,281,4842,2841,2014,1886,1985,1042,2111,2280,1549,877
TRNAQ-UUG,1,0,1,0,0,0,0,0,0,0,1,0
RBFA,135,159,878,478,2899,1655,2786,3164,3489,4041,2570,2273
TXNL4A,69,128,439,291,1305,849,1648,1289,2995,3679,1628,2859
HSBP1L1,18,0,205,124,218,14,120,0,170,135,85,386
SLC66A2,187,182,1160,606,2573,1985,2708,2169,2192,3393,2855,2490
KCNG2,68,42,789,541,198,280,198,83,60,87,326,80
CTDP1,219,233,2822,1478,3116,1603,2597,2020,2480,4487,2577,1968
NFATC1,155,106,4254,2061,1973,2158,2242,2857,2807,4910,4876,2658
GALR1,5,33,2404,1469,12,193,85,27,201,59,100,104
ATP9B,229,314,4598,2717,1899,1787,1374,823,2577,2079,2029,1137
MBP,61,79,1087,572,500,682,409,557,644,645,682,490
ZNF236,401,481,5341,3001,2252,2432,1547,1244,1363,1163,2522,1023
ZNF407,512,417,14416,7925,1076,1114,723,844,723,506,1007,579
ZNF516,167,128,5196,2512,885,1111,1808,589,1002,2360,872,507
ZADH2,69,119,1887,886,837,746,1197,1032,1940,1481,1502,1172
TSHZ1,232,136,5147,2768,1513,1547,1448,1013,1391,1019,1691,858
CNDP1,24,16,1774,1117,199,128,48,44,346,60,198,139
C1H18orf63,20,9,5043,2707,0,18,24,35,93,0,9,0
CNDP2,219,320,1738,1049,3011,3970,3980,5938,6961,4560,6948,4490
DIPK1C,0,0,1187,605,7,0,0,0,0,10,7,9
TIMM21,68,127,882,529,1340,1064,1116,1086,3615,1020,2432,1637
FBXO15,2,6,1859,1081,20,28,48,15,147,152,68,33
CBLN2,36,22,756,494,130,309,2611,0,587,1020,245,315
SOCS6,295,470,2417,1544,2130,2074,1805,693,2174,724,1848,1447
CD226,16,14,1807,1134,33,278,69,15,145,181,128,77
RTTN,141,129,10417,5997,854,560,666,241,637,958,770,335
CCDC102B,8,0,2249,1199,0,5,6,29,0,26,65,3
DOK6,0,6,1764,725,0,8,1433,0,0,0,0,37
TMX3,471,684,2723,1568,1591,3080,2822,2118,5144,1176,3167,1655
DSEL,630,179,7735,4285,291,341,472,656,813,486,381,452
CDH19,67,0,4074,2481,11,52,38,25,122,145,26,123
CDH7,5,6,3568,2134,0,0,9,0,20,0,0,13
SERPINB8,69,69,1316,858,4070,1260,2830,3093,3619,7070,1647,5182
SERPINB10,240,27,2279,1299,314,397,121,671,192,73,257,4132
SERPINB2,169,35,2088,1146,565,87,1063,11,118,462,0,3752
SERPINB7,326,67,1270,888,154,55,10,0,21,56,0,7724
SERPINB13,135,24,2252,1357,409,15,7,0,57,82,12,1466
SERPINB11,25,0,2654,1489,183,8,210,98,28,36,11,2411
SERPINB12,290,120,2349,1364,56,0,3,27,28,0,0,13244
SERPINB5,1367,272,2658,1582,8550,776,1917,187,3670,2063,650,44753
VPS4B,490,512,1863,1200,2139,2502,2820,2158,4752,1564,3160,3433
KDSR,915,343,1492,853,2871,2728,3167,6535,4348,2072,2392,3771
BCL2,66,68,889,480,1278,544,311,987,271,160,595,155
PHLPP1,213,323,4952,2982,8912,2774,3126,695,2279,3377,3923,1154
ZCCHC2,175,229,3320,1855,2088,2273,2353,800,2643,1868,2491,1315
TNFRSF11A,42,284,2502,1404,831,1279,586,97,647,80,1113,106
RELCH,404,546,5298,3523,2562,2509,1877,1007,3153,1584,2191,2257
PPIAP1,26,32,9,10,109,70,105,91,201,464,101,189
PIGN,139,357,5926,3297,1164,1372,1610,465,1713,1051,1069,1159
CDH20,0,0,2870,1766,0,0,0,0,0,0,4,0
PMAIP1,0,0,150,78,31,26,19,8,6,42,42,16
RNF152,417,186,754,363,510,553,1138,800,1190,1869,1742,1159
MC4R,2,0,1884,1186,0,0,0,0,0,0,0,0
CCBE1,52,7,1270,614,27,112,96,155,83,0,244,139
SEC11C,85,379,859,587,2435,3595,4090,3642,9420,4071,6378,5378
LMAN1,527,866,2874,1690,2120,4307,3918,2264,7412,2476,3837,2421
MALT1,242,214,2674,1576,960,1548,1247,1808,1584,2529,1114,1394
ZNF532,1412,1708,6754,3715,6325,9598,6671,3466,7877,8920,11422,5385
ALPK2,69,0,6591,4091,0,28,14,252,48,53,27,504
NEDD4L,287,632,3531,2256,7172,4944,5884,547,5445,4061,6382,1819
ATP8B1,344,312,5767,3520,6091,4097,6737,292,3948,1230,2621,3051
NARS1,331,611,3023,1814,5121,5157,6304,2846,9494,3254,5663,6883
FECH,154,163,1492,888,1398,1141,985,1889,1577,152,1853,1250
ONECUT2,4,4,2495,1375,28,4,6,0,8,0,0,0
TXNL1,220,361,1302,764,2556,2313,3898,4048,6140,5970,3506,4508
WDR7,397,425,6245,3769,1390,1771,1650,1399,1333,1855,1283,1036
CCDC68,160,96,1428,885,304,434,437,3090,636,375,371,99
TCF4,523,476,2442,1497,43,1137,247,547,361,208,1102,300
RAB27B,693,150,858,533,883,420,593,73,1088,891,246,5300
C1H18orf54,162,133,3140,1760,174,612,526,127,1085,531,484,198
