NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	G6PC2	257	16.924453735351562	0.23235402	Yes	
row_1	INS	1255	13.596879005432129	0.3021856	Yes	
row_2	CBLB	3259	3.205315351486206	0.05734579	No	
row_3	IRS4	3439	3.090432643890381	0.08025415	No	
row_4	PIK3CA	3903	2.8623220920562744	0.057544272	No	
row_5	GYS2	4292	2.6968789100646973	0.04327657	No	
row_6	HK3	4294	2.69596266746521	0.08619198	No	
row_7	MAPK10	4678	2.543626308441162	0.07021534	No	
row_8	SOS2	4930	2.4550156593322754	0.0723326	No	
row_9	PRKAR1B	5972	2.123785972595215	-0.047601216	No	
row_10	PRKAG3	6123	2.0743765830993652	-0.03663641	No	
row_11	PPP1R3A	6365	2.003169059753418	-0.040258612	No	
row_12	HRAS	6637	-2.0342912673950195	-0.047817633	No	
row_13	PRKAG1	6668	-2.0956180095672607	-0.018777791	No	
row_14	PHKG2	6696	-2.2026495933532715	0.012415079	No	
