NAME	TITLE	SCORE	
KCNJ5		26.042871	
SIM2		25.551294	
LAMP5		25.014574	
SEC14L5		24.291578	
LOC609513		23.120905	
SIX6		23.074688	
FSIP2		22.76955	
TAS2R41		22.703335	
LOC102155795		22.402306	
CBY3		21.995678	
DISP2		21.732828	
LOC100682955		21.694649	
LOC609865		21.308035	
CSMD3		20.8041	
RP1		20.386158	
RNF17		19.616184	
LOC489979		19.304518	
PCDH15		19.274088	
LOC102155374		19.140862	
BRDT		19.017729	
LOC491791		18.954678	
LOC606788		18.920818	
C17H2orf78		18.86646	
ADAM29		18.838633	
CATSPERB		18.764471	
SALL3		18.74958	
ZNF334		18.737549	
GRM1		18.723537	
ENAM		18.701147	
LOC106559671		18.688246	
SLC4A10		18.665546	
ABCC12		18.649752	
SLC9C1		18.61979	
NLRP9		18.60206	
CCDC7		18.575119	
MCF2		18.570248	
GRIN3A		18.568636	
NLRP5		18.555956	
BEND2		18.519993	
GRM3		18.508638	
FAM135B		18.464706	
TMPRSS15		18.44855	
SCN10A		18.435333	
PKD1L2		18.428291	
GPRC6A		18.400118	
LOC111098430		18.38934	
ADAM7		18.381952	
LOC102153005		18.34199	
MORC1		18.304518	
MSH4		18.28567	
ABCB5		18.273273	
STK31		18.271646	
CNGB3		18.263603	
FBXO43		18.24872	
NLRP2		18.132532	
DGKB		18.123783	
LOC102156133		18.091515	
LOC486923		18.090979	
CDH10		18.089909	
PMFBP1		18.066513	
SYCP1		18.061981	
GUCY2F		18.055517	
LOC491808		18.03763	
GRP		18.015022	
SLC18A1		18.010996	
LOC482237		18.009218	
LOC490896		18.007889	
LOC100687158		18.007446	
GABRG2		18.002613	
TRPA1		17.995678	
GK2		17.995678	
DGKK		17.995678	
LOC482849		17.982967	
OR2T2		17.962574	
CNGA2		17.954678	
OR51T1		17.939302	
OR2T6		17.935541	
LOC119869018		17.928118	
LOC100686467		17.928118	
TERB1		17.920818	
OR2T11		17.910095	
LOC119876862		17.89279	
KCNH6		17.89279	
LOC100683141		17.88941	
GPR149		17.872894	
IQCA1		17.872894	
TTLL2		17.86328	
UBQLNL		17.86012	
UBQLN3		17.86012	
ZSWIM2		17.856985	
TBR1		17.847712	
SLITRK1		17.809668	
OR4K6		17.8041	
LOC491645		17.790485	
LOC475111		17.777283	
OR52E7		17.772114	
OR2T27		17.767004	
LOC100856702		17.75945	
OR4K2		17.744728	
F13B		17.742321	
CUZD1		17.735182	
SLC7A14		17.735182	
TPO		17.728159	
OR2G6		17.723537	
OR4G10		17.721247	
LGSN		17.709965	
OTOG		17.703335	
TAS1R2		17.694649	
PRLHR		17.692505	
CXHXorf66		17.661543	
TAS2R7		17.616184	
GCM2		17.61261	
ERICH6B		17.609064	
LHCGR		17.609064	
OR2M9		17.595167	
OR13D1		17.570248	
EPHA8		17.56703	
PLCZ1		17.563837	
GRIK3		17.559092	
C20H3orf20		17.559092	
OR2C1		17.55752	
CDH20		17.545155	
SLC6A5		17.537601	
OR51L1		17.530178	
UMOD		17.527243	
OR14I2		17.518557	
OR8B4		17.50724	
OR8U3		17.493494	
OR13D1B		17.490797	
OR4P7		17.485453	
CATSPER1		17.47237	
OR10C1		17.463442	
LOC102153942		17.452225	
TENT5D		17.449772	
OR13C11B		17.44855	
TMC1		17.430626	
OR5AN6		17.430626	
ENTHD1		17.428291	
DNAJC5G		17.428291	
TMEM151A		17.415668	
LOC100687078		17.410051	
ASZ1		17.402306	
RAG2		17.399027	
LOC102152097		17.399027	
SPPL2C		17.394695	
CNTN6		17.37059	
BCAN		17.363512	
CABS1		17.354578	
ADAD1		17.352617	
CDH18		17.350666	
LOC611386		17.350666	
LOC610854		17.343903	
SLC22A14		17.327902	
OR8B12		17.321482	
