NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF8	931	14.886056900024414	0.019528423	Yes	
row_1	FGF3	1071	14.37366008758545	0.15073738	Yes	
row_2	PSPN	1087	14.294136047363281	0.29943904	Yes	
row_3	INS	1255	13.596879005432129	0.41830707	Yes	
row_4	FGF4	1582	8.57348918914795	0.4606307	Yes	
row_5	FGF9	2498	3.855207920074463	0.3660595	No	
row_6	SOS2	4930	2.4550156593322754	0.03257718	No	
row_7	FGF21	5179	2.3618569374084473	0.020849269	No	
row_8	FLT3	5242	2.343019723892212	0.036420994	No	
row_9	FGF16	5284	2.3295247554779053	0.05495491	No	
row_10	FGF17	5359	2.3041982650756836	0.068342656	No	
row_11	FGF20	5371	2.3001856803894043	0.09100205	No	
row_12	FGF6	5698	2.199634313583374	0.066029735	No	
row_13	HGF	5744	2.1890158653259277	0.08248877	No	
row_14	BDNF	5778	2.17852783203125	0.10061117	No	
row_15	HRAS	6637	-2.0342912673950195	-0.0047585363	No	
row_16	VEGFB	6732	-2.439070463180542	0.007096376	No	
