NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRM1	27	18.72353744506836	0.185343	Yes	
row_1	LHCGR	113	17.60906410217285	0.3508389	Yes	
row_2	CCKAR	264	16.899629592895508	0.4995483	Yes	
row_3	ADRA1D	1618	6.565431118011475	0.36585042	No	
row_4	HTR2C	2453	3.9009032249450684	0.28196082	No	
row_5	TRHR	2543	3.7977569103240967	0.30720264	No	
row_6	GRM5	2658	3.683826208114624	0.32759526	No	
row_7	HTR2B	3979	2.831367254257202	0.16101806	No	
row_8	CHRM3	4557	2.5868146419525146	0.10184663	No	
row_9	TACR2	5053	2.4086484909057617	0.053000137	No	
row_10	ADRA1B	5257	2.3386974334716797	0.046628777	No	
row_11	AVPR1B	5408	2.2874200344085693	0.04757681	No	
row_12	AVPR1A	5491	2.2616677284240723	0.058320627	No	
row_13	PTGFR	5631	2.2196381092071533	0.06020997	No	
row_14	BDKRB1	5777	2.178598642349243	0.060797006	No	
row_15	PLCB4	5826	2.1627814769744873	0.07556897	No	
row_16	PTGER1	5859	2.1542882919311523	0.0926212	No	
row_17	HRH1	5890	2.1466336250305176	0.1098918	No	
row_18	ADRA1A	5934	2.1338939666748047	0.12511107	No	
